TCP,text_name,EEBO,VID,STC,ESTC,Status,Author,Author 2,Author 3,Author 4,Translator,Date,Date Corrections,Title,Form,Genre,Network,Notes,Pages,Simplified Title,Subgenre,BigNamesSubgenre,Terms,SuperScience,BigNamesScience
A01097,A01097.headed.txt,99848979,14106,STC 11210; ESTC S113749,S113749,Free,"Foulweather, Adam.; Nash, Thomas, 1567-1601, attributed name.",,,,,1591,,"A vvonderfull, strange and miraculous astrologicall prognostication for this yeere 1591 Discouering such wonders to happen this yeere, an neuer chaunced since Noes floud. Wherein if there be found one lye, the author will loose his credit for euer. Newly corrected. By Adam Fouleweather, student in astronomy.; Wonderfull, strange and miraculous, astrologicall prognostication for this yeer of our Lord God. 1591.",,Astrology,Occultism,,26,,,,"Harvey, Richard, 1560-1623? -- Plaine Percevall the peace-maker of England.; Harvey, Richard, 1560-1623? -- Theological discourse of the Lamb of God and his enemies.; Marprelate controversy -- Early works to 1800.",TRUE,FALSE
A01185,A01185.headed.txt,99836182,438,STC 1130; ESTC S100339,S100339,Free,"Bacon, Francis, 1561-1626.; Gorges, Arthur, Sir, 1557?-1625.",,,,,1619,,"The vvisedome of the ancients, written in Latine by the Right Honourable Sir Francis Bacon Knight, Baron of Verulam, and Lord Chancelor or England. Done into English by Sir Arthur Gorges Knight; De sapientia veterum. English",,Philosophy of Science,Baconian,,172,,,Philosophy of Science,"Mythology, Classical -- Early works to 1800.",TRUE,TRUE
A01231,A01231.headed.txt,99838393,2769,STC 11344; ESTC S102621,S102621,Free,"Fraunce, Abraham, fl. 1587-1633.; Ramus, Petrus, 1515-1572. Dialecticae libri duo.",,,,,1588,,"The lavviers logike exemplifying the prÃ_cepts of logike by the practise of the common lawe, by Abraham Fraunce.",,Philosophy of Science,Aristotelian Tradition,,330,,,,Logic -- Early works to 1800.; Common law -- Early works to 1800.,TRUE,FALSE
A01255,A01255.headed.txt,99842133,6763,STC 1137; ESTC S106417,S106417,Free,"Bacon, Francis, 1561-1626.",,,,,1597,,Essayes Religious meditations. Places of perswasion and disswasion. Seene and allowed.,,Philosophy of Science,Baconian,,102,,,,,TRUE,FALSE
A01313,A01313.headed.txt,99838455,2835,STC 11435; ESTC S102684,S102684,Free,"Fulke, William, 1538-1589.",,,,,1563,,"A goodly gallerye with a most pleasaunt prospect, into the garden of naturall contemplation, to behold the naturall causes of all kynde of meteors, as wel fyery and ayery, as watry and earthly, of whiche sort be blasing sterres, shooting starres, flames in the ayre &c. tho[n]der, lightning, earthquakes, &c. rayne dewe, snowe, cloudes, springes &c. stones, metalles, earthes &c. to the glory of God, and the profit of his creaturs.",,Natural History,,,146,,Earth Sciences,,Meteorology -- Early works to 1800.; Meteors -- Early works to 1800.; Metals -- Early works to 1800.,TRUE,FALSE
A01408,A01408.headed.txt,99838567,2949,STC 11529; ESTC S102805,S102805,Restricted,"Gale, Thomas, 1507-1587.",,,,,1563,,"Certaine vvorkes of chirurgerie, nevvly compiled and published by Thomas Gale, maister in chirurgerie",,Anatomical/Surgical,,,538,,,,Surgery -- Early works to 1800.,TRUE,FALSE
A01410,A01410.headed.txt,99852903,18258,STC 11531; ESTC S117692,S117692,Restricted,"Galen.; Gale, Thomas, 1507-1587.",,,,,1586,,"Certaine vvorkes of Galens, called Methodus medendi with a briefe declaration of the worthie art of medicine, the office of a chirurgion, and an epitome of the third booke of Galen, of naturall faculties: all translated into English, by Thomas Gale Maister in Chirurgerie.; On the therapeutic method. Book 3-6. English",,Med-General Treatise,,,290,,,Medicine-Treatments,Medicine -- Early works to 1800.,TRUE,TRUE
A01426,A01426.headed.txt,99841401,5982,STC 11543; ESTC S105675,S105675,Free,"GalvÃ£o, AntÃ_nio, d. 1557.; Hakluyt, Richard, 1552?-1616.",,,,,1601,,"The discoueries of the world from their first originall vnto the yeere of our Lord 1555. Briefly written in the Portugall tongue by Antonie Galuano, gouernour of Ternate, the chiefe island of the Malucos: corrected, quoted, and now published in English by Richard Hakluyt, sometimes student of Christ church in Oxford; Tratato. Que compÃ´s o nobre & notavel capitÃ£o Antonio GalvÃ£o, dos diversos & desvayrados caminhos, por onde nos tempos passados a pimenta & especearia veyo da India Ã¡s nossas partes. English",,Geography,,,110,,,,"Discoveries in geography -- Early works to 1800.; America -- Early accounts to 1600.; America -- Discovery and exploration, Spanish -- Early works to 1800.",TRUE,FALSE
A01443,A01443.headed.txt,99850122,15306,STC 11564.5; ESTC S114900,S114900,Free,"Gardiner, Edmund.",,,,,1611,,"Phisicall and approved medicines, aswell in meere simples, as compound obseruations With a true and direct iudgement of the seuerall complexions of men, & how to minister both phisicke and medicine, to euery seuerall complexion. With the making of many excellent vnguents, and oyles, as also their applications, both for gargarismes & inflamations of the face, and other diseases incident to the body of man, aswell chiurugicall as phisicall. With the true vse of taking that excellent hearbe tabacco, aswell in the pipe by sume, as also in phisicke, medicine and chirurgerie.; Triall of tabacco",,Med-Specific Treatise,,,130,,Substances,,Tobacco -- Early works to 1800.; Tobacco -- Therapeutic use -- Early works to 1800.,TRUE,FALSE
A01444,A01444.headed.txt,99841419,6000,STC 11564; ESTC S105693,S105693,Free,"Gardiner, Edmund.",,,,,1610,,"The triall of tabacco Wherein, his worth is most worthily expressed: as, in the name, nature, and qualitie of the sayd hearb; his speciall vse in all physicke, with the true and right vse of taking it, aswell for the seasons, and times, as also the complexions, dispositions, and constitutions, of such bodies, & persons, as are fittest: and to whom it is most profitable to take it. By E.G. Gent. and practicioner in physicke.",,Med-Specific Treatise,,,124,,Substances,,Tobacco -- Early works to 1800.; Tobacco -- Therapeutic use -- Early works to 1800.,TRUE,FALSE
A01446,A01446.headed.txt,99836343,608,STC 1157; ESTC S100504,S100504,Free,"Bacon, Francis, 1561-1626.; Bacon, Francis, 1561-1626. Instauratio magna.",,,,,1638,,"The historie of life and death With observations naturall and experimentall for the prolonging of life. Written by the Right Honorable Francis Lord Verulam, Viscount S. Alban.; Historia vitae et mortis. English",,Natural History,Baconian,,335,,Biology,Natural History,Life (Biology) -- Early works to 1800.; Longevity -- Early works to 1800.; Death (Biology) -- Early works to 1800.,TRUE,TRUE
A01454,A01454.headed.txt,99836345,610,STC 1158; ESTC S100506,S100506,Free,"Bacon, Francis, 1561-1626.; Bacon, Francis, 1561-1626. Instauratio magna.; Rawley, William, 1588?-1667.",,,,,1638,,"Historie naturall and experimentall, of life and death. Or of the prolongation of life. Written in Latine by the Right Honorable Francis Lo. Verulam, Vis-count St. Alban; Historia vitae et mortis. English",,Natural History,Baconian,,463,,Biology,Natural History,Life (Biology) -- Early works to 1800.; Longevity -- Early works to 1800.; Death (Biology) -- Early works to 1800.,TRUE,TRUE
A01512,A01512.headed.txt,99838670,3057,STC 11634; ESTC S102909,S102909,Free,"Garzoni, Tomaso, 1549?-1589.; Nash, Thomas, 1567-1601.; Blount, Edward, fl. 1588-1632.",,,,,1600,,"The hospitall of incurable fooles: erected in English, as neer the first Italian modell and platforme, as the vnskilfull hand of an ignorant architect could deuise; Hospidale de' pazzi incurabili. English",,Med-Specific Treatise,,,174,,Psychology,,Insanity -- Early works to 1800.,TRUE,FALSE
A01516,A01516.headed.txt,99836346,611,STC 1164; ESTC S100507,S100507,Free,"Bacon, Francis, 1561-1626.",,,,,1605,,"The tvvoo bookes of Francis Bacon. Of the proficience and aduancement of learning, diuine and humane To the King.; Of the proficience and advancement of learning",,Philosophy of Science,Baconian,,339,,,Philosophy of Science,Science -- Methodology -- Early works to 1800.; Logic -- Early works to 1800.,TRUE,TRUE
A01552,A01552.headed.txt,99842617,7285,STC 1168; ESTC S106909,S106909,Free,"Bacon, Francis, 1561-1626.; Rawley, William, 1588?-1667.; Cecil, Thomas, fl. 1630, engraver.",,,,,1627,,"Sylua syluarum: or A naturall historie In ten centuries. VVritten by the Right Honourable Francis Lo. Verulam Viscount St. Alban. Published after the authors death, by VVilliam Rawley Doctor of Diuinitie, late his Lordships chaplaine.",,Natural History,Baconian,,346,,Earth Sciences,Natural History,Natural history -- Pre-Linnean works.,TRUE,TRUE
A01586,A01586.headed.txt,99853160,18529,STC 11712; ESTC S117951,S117951,Free,"Gellibrand, Henry, 1597-1636.",,,,,1635,,A discourse mathematical on the variation of the magneticall needle Together with its admirable diminution lately discovered. By Henry Gellibrand professor of astronomie in Gresham College.,,Navigation,,,25,,,Mathematics,Geomagnetism -- Early works to 1800.,TRUE,TRUE
A01622,A01622.headed.txt,99857317,23022,STC 11751; ESTC S122165,S122165,Free,"Gerard, John, 1545-1612.; Johnson, Thomas, d. 1644.; Payne, John, d. 1647?, engraver.; Dodoens, Rembert, 1517-1585. Cruydenboeck.",,,,,1633,,The herball or Generall historie of plantes. Gathered by Iohn Gerarde of London Master in Chirurgerie very much enlarged and amended by Thomas Iohnson citizen and apothecarye of London,,Natural History,,,1585,,Earth Sciences,,"Botany -- Pre-Linnean works -- Early works to 1800.; Botany, Medical -- Early works to 1800.; Gardens -- England -- Early works to 1800.",TRUE,FALSE
A01631,A01631.headed.txt,99841454,6039,STC 11762; ESTC S105728,S105728,Restricted,"Hyperius, Andreas, 1511-1564.; Vaux, Robert.",,,,,1581,,"Two common places taken out of Andreas Hyperius, a learned diuine, whereof, in the one, he sheweth the force that the sonne, moone and starres haue ouer men, &c. In the other, whether the deuils haue bene the shewers of magicall artes, &c. Translated into English by R.V.",,Astrology,Occultism,,125,,,,Astrology -- Early works to 1800.; Demonology -- Early works to 1800.; Magic -- Religious aspects -- Early works to 1800.,TRUE,FALSE
A01658,A01658.headed.txt,99838819,3208,STC 11798; ESTC S103060,S103060,Free,"Gesner, Konrad, 1516-1565.; Hill, Thomas, b. ca. 1528.; Baker, George, 1540-1600.",,,,,1576,,"The newe iewell of health wherein is contayned the most excellent secretes of phisicke and philosophie, deuided into fower bookes. In the which are the best approued remedies for the diseases as well inwarde as outwarde, of all the partes of mans bodie: treating very amplye of all dystillations of waters, of oyles, balmes, quintessences, with the extraction of artificiall saltes, the vse and preparation of antimonie, and potable gold. Gathered out of the best and most approued authors, by that excellent doctor Gesnerus. Also the pictures, and maner to make the vessels, furnaces, and other instrumentes therevnto belonging. Faithfully corrected and published in Englishe, by George Baker, chirurgian.; Thesaurus Euonymi Philiatri. English",,Med-Materia Medica/Recipes,Occultism,,484,,,Medicine-Treatments,"Medicine -- Early works to 1800.; Medicine -- Formulae, receipts, prescriptions -- Early works to 1800.; Distillation -- Early works to 1800.",TRUE,TRUE
A01661,A01661.headed.txt,99846288,11248,STC 1180; ESTC S110820,S110820,Free,"Bacon, Roger, 1214?-1294.",,,,,1550,,"This boke doth create all of the beste waters artyfycialles and the vertues and properties of the same, moche profytable for the poore sycke, set forth, by syr Roger Becon Freere.",,Med-Specific Treatise,Occultism,,30,,Treatments,Medicine-Treatments,"Medicine, Medieval.",TRUE,TRUE
A01662,A01662.headed.txt,99838855,3245,STC 11800; ESTC S103098,S103098,Free,"Gesner, Konrad, 1516-1565.; Morwen, Peter.",,,,,1559,,"The treasure of Euonymus conteyninge the vvonderfull hid secretes of nature, touchinge the most apte formes to prepare and destyl medicines, for the conseruation of helth: as quintesse[n]ce, aurum potabile, hippocras, aromatical wynes, balmes, oyles perfumes, garnishyng waters, and other manifold excellent confections. Wherunto are ioyned the formes of sondry apt fornaces, and vessels, required in this art. Translated (with great diligence, et laboure) out of Latin, by Peter Morvvying felow of Magdaline Colleadge in Oxford.; Thesaurus Euonymi Philiatri. English",,Med-Materia Medica/Recipes,Occultism,,408,,,Medicine-Treatments,"Medicine -- Early works to 1800.; Medicine -- Formulae, receipts, prescriptions -- Early works to 1800.; Distillation -- Early works to 1800.",TRUE,TRUE
A01683,A01683.headed.txt,99836354,619,STC 1182; ESTC S100517,S100517,Free,"Bacon, Roger, 1214?-1294.; Bacon, Roger, 1214?-1294. De secretis operibus artis et naturae. English. aut; KhÄÅlid ibn YazÄ«d al-UmawÄ«, 7th cent.; Simon, of Cologne, d. 1442?.",,,,,1597,,"The mirror of alchimy, composed by the thrice-famous and learned fryer, Roger Bachon, sometimes fellow of Martin Colledge: and afterwards of Brasen-nose Colledge in Oxenforde. Also a most excellent and learned discourse of the admirable force and efficacie of art and nature, written by the same author. With certaine other treatises of the like argument; Speculum alchemiae. English",,Alchemy,Occultism,,89,,,Occultism,Alchemy -- Early works to 1800.; Technology -- Early works to 1800.,TRUE,TRUE
A01774,A01774.headed.txt,99850476,15683,STC 1191; ESTC S115257,S115257,Free,"Baley, Walter, 1529-1592.",,,,,1587,,A briefe discours of certain bathes or medicinall waters in the Countie of Warwicke neere vnto a village called Newnam Regis,,Med-Specific Treatise,,,48,,Hydrotherapy,,Mineral waters -- England -- Newnham Regis -- Early works to 1800.,TRUE,FALSE
A01797,A01797.headed.txt,99856756,22380,STC 11932; ESTC S121577,S121577,Restricted,"Godfridus.; Palladius, Rutilius Taurus Aemilianus. De re rustica.",,,,,1585,,"The knowledge of things vnkowne Apperteyning to astronomy, wyth necessary rules, and certayne speares contayned in the same. Compyled by Godfridus super palladium de agricultura Anglicatum.; This booke of astronomye",,Astrology,Occultism,,114,,,,Astrology -- Early works to 1800.,TRUE,FALSE
A01813,A01813.headed.txt,99850058,15241,STC 1195; ESTC S114835,S114835,Free,"Baley, Walter, 1529-1592.",,,,,1602,,"A briefe treatise touching the preservation of the eie sight consisting partly in good order of diet, and partly in vse of medicines.",,Med-Specific Treatise,,,32,,Physiology,,Eye -- Diseases -- Early works to 1800.,TRUE,FALSE
