TCP,ESTC,text_name,Title,Title 30 Char or fewer,Author,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Verse/Prose/Mixed,Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Status,Notes
A00350,S878,A00350.headed.txt,De co[n]temptu mundi The dispisyng of the worlde / co[m]piled in Latyn by Erasmus Rot. ; and translated in to Englyshe by Thomas Paynell ...,DespisingTheWorld,"Erasmus, Desiderius, d. 1536.|Paynell, Thomas.",4�,,1532,[London] :,"Imprinted at London in Fletestrete, in the house of Thomas Berthelet ... and be to sell in Poules churchyarde,",prose,IR,INST,Free,
A00358,S2113,A00358.headed.txt,A treatise perswadynge a man patientlye to suffre the deth of his frende|De morte declamatio. English,TreatiseSufferFriendsDeath,"Erasmus, Desiderius, d. 1536.",8�,,1531,[London] :,"Thomas Berthelet regius impressor excudebat,",prose,IS,INST,Free,
A00412,S101688,A00412.headed.txt,"The contempte of the vvorld, and the vanitie thereof, written by the reuerent F. Diego de Stella, of the order of S. Fr. deuided into three bookes, and of late translated out of Italian into Englishe, vvith conuenient tables in the end of the booke.|Vanid",ContemptOfTheWorldIn3Books,"Estella, Diego de, 1524-1578.|Cotton, George,",12�,,1584,[Rouen :,"Printed at Fr. Parsons's press],",prose,IR,INST,Free,
A00414,S114515,A00414.headed.txt,"A methode vnto mortification: called heretofore, the contempt of the world, and the vanitie thereof. Written at the first in the Spanish, afterward translated into the Italian, English, and Latine tongues: now last of all perused at the request of some of",MethodUntoMortification,"Estella, Diego de, 1524-1578.|Rogers, Thomas, d. 1616,",12�,,1608,Imprinted at London :,"By Iohn Windet,",prose,IR,INST,Free,
A00505,S101803,A00505.headed.txt,"A discouery of the great subtiltie and wonderful wisedome of the Italians whereby they beare sway ouer the most part of Christendome, and cunninglie behaue themselues to fetch the quintescence out of the peoples purses: discoursing at large the meanes, ho",DiscoveryOfCunningItalians,G. B. A. F.,4�,,1591,London :,"Printed by Iohn Wolfe,",prose,EX,ARG,Free,
A00508,S104447,A00508.headed.txt,"The difference betwene the auncient phisicke, first taught by the godly forefathers, consisting in vnitie peace and concord: and the latter phisicke proceeding from idolaters, ethnickes, and heathen: as Gallen, and such other consisting in dualitie, disco",AncientVsLatterPhysic,"Bostocke, Richard.|Bostocke, Robert,",8�,,1585,Imprinted at London :,"[By G. Robinson] for Robert VValley,",prose,EX,ARG,Free,
A00522,S111789,A00522.headed.txt,"An oration of Ihon Fabritius Montanus. VVherby he teacheth that Christian men cannot resorte to the Councel of Trent, without committing an haynous offence. Englyshed by L.A.|Oration of Jhon Fabritius Montanus|Oration of Jhon Fabritius Montanus.|Oration a",OrationOfMontanus,"Fabricius, Joannes, Montanus, 1527-1566.|L. A., fl. 1562.",8�,,1562,[Imprynted at London :,"In Powles Churcheyard by [J. Cawood for] Humfrie Toye, dwellynge at the sygne of the Helmet],",prose,IR,ARG,Free,
A00538,S101825,A00538.headed.txt,"Horlogiographia. The art of dialling: teaching an easie and perfect way to make all kinds of dials vpon any plaine plat howsoeuer placed: vvith the drawing of the twelue signes, and houres vnequall in them all. Whereunto is annexed the making and vse of o",HorlogiographiaArtOfDialing,"Fale, Thomas, fl. 1604.|Hondius, Jodocus, 1563-1612,",4�,,1593,At London :,"Printed by Thomas Orwin, dwelling in Pater noster-Row ouer against the signe of the Checker,",prose,IS,INST,Free,
A00566,S122324,A00566.headed.txt,"Canzonets to fowre voyces, with a song of eight parts. Compiled by Giles Farnaby Bachilar of Musicke.|Cantus. Canzonets to fowre voyces.",CanzonetFourVoices,"Farnaby, Giles, ca. 1565-1640.",4�,,1598,London :,"Printed by Peter Short dwelling on Bredstreet hil at the signe of the Star,",verse,NN,DESC,Free,
A00673,S105580,A00673.headed.txt,"The supplicacion: that the nobles and comons of Osteryke made lately by their messaungers, vnto kyng Ferdinandus, in the cause of the Christen religion. Item. The kynges answere to the same. Vvherpon foloweth the wordes that the messaungers spake vnto the",OsterykeToKingFerdinandus,"Coverdale, Miles, 1488-1568,|Ferdinand, 1503-1564.",8�,,1542,[Antwerp :,"Printed by M. Crom,",prose,IR,ARG,Free,
A00748,S4676,A00748.headed.txt,"The epiphanie of the church gathered out of the Holy Scriptures, declaring and plainly shevving, both the church that cannot but erre, and also the church that cannot erre : vvith so evident notes and manifest signes of either of them, that no man reading",EpiphanyOfChurchError,"Finch, Richard, minister of East Ham.",4�,,1590,London :,"Printed by Roger Ward, dvvelling at the signe of the Pursse in the Little Old-baily,",prose,IR,INST,Free,
A00776,S109711,A00776.headed.txt,"A spirituall consolation, written by Iohn Fyssher Bishoppe of Rochester, to hys sister Elizabeth, at suche tyme as hee was prisoner in the Tower of London. Uery necessary, and commodious for all those that mynde to leade a vertuous lyfe: also to admonishe",SpiritualConsolation,"Fisher, John, Saint, 1469-1535.",8�,,1578,[London :,"[W. Carter,",prose,IR,INST,Free,
A00908,S102241,A00908.headed.txt,"A defence of the Catholyke cause contayning a treatise in confutation of sundry vntruthes and slanders, published by the heretykes, as wel in infamous lybels as otherwyse, against all english Catholyks in general,  some in particular, not only concerning",DefenseCatholicCause,"Fitzherbert, Thomas, 1552-1640.",4�,,1602,[Antwerp] :,"Imprinted with licence [by A. Conincx],",prose,IR,ARG,Free,
A00926,S115106,A00926.headed.txt,"The affections of a pious soule, unto our Saviour-Christ. Expressed in a mixt treatise of verse and prose. By Richard Flecknoe.|Affections of a pious soule, c.",AffectionsOfAPiousSoul,"Flecknoe, Richard, d. 1678?",8�,,1640,London :,"Printed by Iohn Raworth for William Brooke, dwelling at the upper end of Holborne in Turpius Rents,",mixed,IR,INST,Free,
A00954,S117621,A00954.headed.txt,The revvard of the faithfull. The labour of the faithfull. The grounds of our faith.|Reward of the faithfull. The labour of the faithfull. The grounds of our faith.|Reward of the faithfull. The labour of the faithfull. The grounds of our faith.,RewardAndLaborOfFaithful,"Fletcher, Giles, 1588?-1623.",12�,,1623,At London :,"Printed by B. A[lsop] for Beniamin Fisher, and are to be sold at the signe of the Talbot in Pater-noster row,",prose,IR,INST,Free,
A00969,S106283,A00969.headed.txt,"The two noble kinsmen presented at the Blackfriers by the Kings Maiesties servants, with great applause: written by the memorable worthies of their time; Mr. Iohn Fletcher, and Mr. William Shakspeare. Gent.",TwoNobleKinsmenAtBlackfriars,"Fletcher, John, 1579-1625.|Shakespeare, William, 1564-1616.",4�,,1634,Printed at London :,"By Tho. Cotes, for Iohn Waterson: and are to be sold at the signe of the Crowne in Pauls Church-yard,",prose,NI,NARR,Free,
A00979,S102382,A00979.headed.txt,"Sicelides a piscatory, as it hath beene acted in Kings Colledge, in Cambridge.",SicelidesAPiscatory,"Fletcher, Phineas, 1582-1650.",4�,,1631,London :,"Printed by I[ohn] N[orton] for VVilliam Sheares, and are to be sold at his shoppe, at the great south doore of St. Pauls Church,",verse,NI,NARR,Free,
A01043,S113684,A01043.headed.txt,"Apophthegmes new and old. Collected by the Right Honourable, Francis Lo. Verulam, Viscount St. Alban.",ApopthegmesNewAndOld,"Bacon, Francis, 1561-1626.",8�,,1625,London :,"Printed [by J. Haviland] for Hanna Barret, and Richard Whittaker, and are to be sold at the Kings head in Pauls Chuch-yard,",prose,NN,NARR,Free,
A01145,S122364,A01145.headed.txt,"A caueat for France, vpon the present euils that it now suffereth. Together with the remedies necessarie for the same. Translated out of French into English by E. Aggas.|Caveat for France, upon the present evils that it now suffereth|Caveat for France, up",CaveatForFrance,"Aggas, Edward,",4�,,1588,London :,"Imprinted by Iohn Wolfe,",prose,NN,NARR,Free,
A01219,S112684,A01219.headed.txt,"An oration against the vnlawfull insurrections of the protestantes of our time, vnder pretence to refourme religion. Made and pronounced in Latin, in the Schole of Artes at Louaine, the .xiij. of December. Anno. 1565. By Peter Frarin of Andwerp, M. of Art",OrationAgainstProtestants,"Frarinus, Petrus.|Fowler, John, 1537-1579,",8�,,1566,Antverpi� :,"Ex officina Ioannis Fouleri,",prose,NN,ARG,Free,
A01222,S118717,A01222.headed.txt,"Offer maid to a gentilman of qualitie by Iohn Fraser, to subscribe and embrace the ministers of Scotlands religion, if they can sufficientlie proue, that they haue the true kirk and lawful calling. VVhereto ar[e] adioyned certaine reasons and consideratio",EmbraceScottishMinisters,"Fraser, John, d. 1605.",8�,,1604,At Paris :,"Printed by Stephane Prevosteau, in the rue of S. Io. de Lateran, besyd the college of Cambray,",prose,IR,ARG,Free,
A01233,S102623,A01233.headed.txt,"Tvvo spare keyes to the Iesuites cabinet� dropped accidentally by some Father of that societie and fallen into the hands of a Protestant. The first wherof, discovers their domestick doctrines for education of their novices. The second, openeth their athei",KeysToJesuitsCabinet,"Francke, Christian, b. 1549.|Freake, William,|Camilton, John.",4�,,1632,London :,"Printed by B[ernard] A[lsop] and T[homas] F[awcet] for George Giebes, and are to be sold at his shop at the Flower de Luce, by the little south-doore of St. Pauls Church,",prose,IR,ARG,Free,
A01247,S102782,A01247.headed.txt,"Articles agreed vpon and concluded between the victorious, excellent, high and mighty prince and lord, Frederick Henry, Prince of Orange, Count of Nassaw, c. on the one part, and the vanquished towne of S'hertogenbosh on the other side. And also, how the",VanquishedTownOfShertogenbosh,"Frederick Henry, Prince of Orange, 1584-1647.",4�,,1629,London :,"Printed for Nicholas Bourne, and are to bee sold at his shop, at the south entrance of the Royall Exchange,",prose,STA,STA,Free,
A01283,S102662,A01283.headed.txt,"The strategemes, sleyghtes, and policies of warre, gathered togyther, by S. Iulius Frontinus, and translated into Englyshe, by Rycharde Morysine.|Strategematica. English|Strategematica.",StratagemsOfWar,"Frontinus, Sextus Julius.|Morison, Richard, d. 1556,",8�,,1539,[Londini :,"In �dibus Thom[a]e Bertheleti typis impress.],",prose,IS,INST,Free,
A01320,S102756,A01320.headed.txt,"Pr�lections vpon the sacred and holy Reuelation of S. Iohn, written in latine by William Fulke Doctor of Diuinitie, and translated into English by George Gyffard.|In sacram divi Joannis Apocalypsim praelectiones. English|In sacram divi Joannis Apocalypsim",PraelectionsOnJohnsRevelation,"Fulke, William, 1538-1589.|Gifford, George, d. 1620,",4�,,1573,Imprinted at London :,"By Thomas Purfoote, at the signe of the Lucrece,",prose,IR,INST,Free,
A01324,S112728,A01324.headed.txt,"A reioynder to Bristows replie in defence of Allens scroll of articles and booke of purgatorie. Also the cauils of Nicholas Sander D. in Diuinitie about the supper of our Lord, and the apologie of the Church of England, touching the doctrine thereof, conf",RejoinderToBristow,"Fulke, William, 1538-1589.",8�,,1581,At London :,"Printed by H. Middleton for George Bishop,",prose,IR,ARG,Free,
A01327,S102774,A01327.headed.txt,"A sermon preached at Hampton Court on Sonday being the 12. day of Nouember, in the yeare of our Lord. 1570. VVherein is plainly proued Babylon to be Rome, both by Scriptures and doctors. Preached by VVilliam Fulke Bacheler of Diuinity, and fellow of S. Io",SermonAtHamptonCourt12Nov1570,"Fulke, William, 1538-1589.",8�,,1571,Imprinted at London :,"By Iohn Awdely,",prose,IR,INST,Free,
A01349,S105662,A01349.headed.txt,"Ioannis Palsgraui Londoniensis, ecphrasis Anglica in comoediam Acolasti. The comedye of Acolastus translated into oure englysshe tongue, after suche maner as chylderne are taught in the grammer schole, fyrst worde for worde, as the latyne lyeth, and after",ComedyOfAcolastusTranslated,"Gnaphaeus, Gulielmus, 1493-1568.|Palsgrave, John, d. 1554,",4�,,1540,[Impress. Lond. :,"In �dibus Tho. Berthel[eti] regii impressoris],",mixed,NI,NARR,Free,
A01366,S109825,A01366.headed.txt,"Agaynst the possessyons of the clergye. Harkyn what great auctorytes shall nowe folowe, for proffe thereof.",AgainstClergysPossessions,"Fyloll, Jasper.",8�,,1537,[London :,"J. Skot,",prose,IR,ARG,Free,
A01387,S102781,A01387.headed.txt,Salutem in Christo.|Good men and euill delite in contraryes.,DelightInContraries,"R. G., fl. 1571.|Grafton, Richard, d. 1572?,|Burghley, William Cecil, 1520-1598,",8�,,1571,[London :,"Printed by John Day,",prose,NN,NARR,Free,
A01428,S113824,A01428.headed.txt,Linsi-woolsie. Or Two centuries of epigrammes. Written by William Gamage Batchelour in the Artes.|Linsi-woolsie|Two centuries of epigrammes.,LinseyWoolseyEpigrams,"Gamage, William.",8�,,1621,London :,"Printed by Aug. Mathewes for Henry Bell, and are to besold [sic] at his shop in Bethelem without Bishops Gate, at the signe of the Sunne,",verse,NN?,NARR?,Free,
A01468,S102855,A01468.headed.txt,"An admonishion to the bishoppes of VVinchester, London and others c.|Admonishion to the bishoppes of Winchester, London and others c.|Admonishion to the bishoppes of Winchester, London and others c.",AdmonitionToBishopsWinchester,"Bale, John, 1495-1563.",8�,,1553,Roane [i.e. London?] :,"By Michael Wood [i.e. John Day],",prose,IR,INST,Free,
A01472,S102859,A01472.headed.txt,"Great Brittans little calendar: or, Triple diarie, in remembrance of three daies. Diuided into three treatises. 1. Britanni� vota: or God saue the King: for the 24. day of March, the day of his Maiesties happy proclamation. 2. C�saris hostes: or, the trag",BritainsLittleCalendar,"Garey, Samuel, 1582 or 3-1646.",4�,,1618,London :,"Printed by Iohn Beale for Henry Fetherstone, and Iohn Parker,",prose,IS or IR?,INST,Free,IS
A01512,S102909,A01512.headed.txt,"The hospitall of incurable fooles: erected in English, as neer the first Italian modell and platforme, as the vnskilfull hand of an ignorant architect could deuise.|Hospidale de' pazzi incurabili. English|L'hospidale de' pazzi incurabili.",HospitalOfIncurableFools,"Garzoni, Tomaso, 1549?-1589.|Nash, Thomas, 1567-1601.|Blount, Edward, fl. 1588-1632.",4�,,1600,[London] :,"Printed by Edm. Bollifant, for Edward Blount,",prose,EX,EX,Free,
A01594,S103016,A01594.headed.txt,"The lavves and statutes of Geneua as well concerning ecclesiastical discipline, as ciuill regiment, with certeine proclamations duly executed, whereby Gods religion is most purelie mainteined, and their common wealth quietli gouerned: translated out of Fr",LawsOfGeneva,"Geneva (Switzerland)|Fills, Robert, fl. 1562,",8�,,1562,Printed at London :,"By Rouland Hall [and Thomas Hacket], dwellyng in Gutter Lane, at the sygne of the halfe Egle and the Keye,",prose,STA,STA,Free,
A01600,S103059,A01600.headed.txt,"The life and death of Mr. Edmund Geninges priest, crowned with martyrdome at London, the 10. day of Nouember, in the yeare M.D.XCI.",LifeDeathEdmundGeninges,"Geninges, John, d. 1660.|Baes, Martin,|Wilson, John, ca. 1575-ca. 1645?,",4�,,1614,At S. Omers :,"By Charles Boscard,",prose,NN,NARR,Free,
A01618,S108633,A01618.headed.txt,"The ofspring of the house of Ottomanno and officers pertaining to the greate Turkes court. Whereunto is added Bartholomeus Georgieuiz Epitome, of the customes rytes, ceremonies, and religion of the Turkes: with the miserbale affliction of those Christians",OffspringOfHouseOfOttoman,"Georgijevi�c, Bartolomej, d. ca. 1566.|Gough, Hugh, fl. 1569,",8�,,1569,Imprinted at London :,"In Fletestreate, neare vnto saint Dunstones church by Thomas Marshe,",prose,EX,EX,Free,
A01700,S102994,A01700.headed.txt,"A sermon of ecclesiastical benediction preached at Oundle at a visitation, Apr. 14. 1619. by Master Samuel Gibson, minister at Burleigh in Rutland.",SermonOfBeneditionAtOundle,"Gibson, Samuel.",4�,,1620,At London :,"Imprinted by F[elix] K[ingston] for William Barringer, at the great north-doore of Pauls,",prose,IR,INST,Free,
A01706,S103090,A01706.headed.txt,A breve cronycle of the Bysshope of Romes blessynge and of his prelates beneficiall and charitable rewardes. from the tyme of Kynge Heralde vnto this daye.|Breve cronycle of the Bysshope of Romes blessynge|Breve cronycle of the Bysshope of Romes blessynge,BriefChronicleOfRomesBlessing,"Gybson, Thomas, d. 1562.",8�,,1548,Imprinted at London :,"By [R. Wyer for] Iohn Daye, dwellyng in Sepulchres parish at the signe of the Resurrection a lytle aboue Holbourne Conduite. Cum priuilegio regali, ad imprimendum solum,",verse,NN,NARR,Free,
A01810,S103176,A01810.headed.txt,"Rerum Anglicarum Henrico VIII� Edvvardo VI. et Maria regnantibus, annales.|Rerum Anglicarum Henrico VIII. Edwardo VI. et Maria regnantibus, annales.|Rerum Anglicarum Henrico VIII. Edwardo VI. et Maria regnantibus, annales.",AnnalsOfEdward6Henry8AndMary,"Godwin, Francis, 1562-1633.",4�,,1628,Londini :,"[Printed by Thomas Harper] apud Ioannem Billium, typographum Regium,",prose,NN,NARR,Free,
A01828,S116675,A01828.headed.txt,"The legacye or embassate of the great emperour of Inde prester Iohn, vnto Emanuell kynge of Portyngale, in the yere of our lorde M. v.C.xiii. Of the fayth of the Indyans, ceremonyes, relygyons []c. Of the patryarche [and] his offyce. Of the realme, state,",LegacyofPresterJohntoPortugal,"G�is, Dami�ao de, 1502-1574.|More, John, fl. 1533,",8�,,1533,[[London] :,"Printed by w. Rastell in Fletestrete in saynte Brydys chyrch yarde,",prose,NI,NARR,Free,
A01910,S120332,A01910.headed.txt,"A newe booke called the shippe of safegard, wrytten by G.B. Anno. 1569.|The shippe of safegard.|Ship of safegard.|Shippe of safegard.",ShipOfSafeguard,"Googe, Barnabe, 1540-1594.",8�,,1569,Imprinted at London :,"By W. Seres,",verse,NI,NARR,Free,"main poem is as much didactic as narrative, but last two poems are more narrative; is allegory imaginative or not? - Katie thinks allegory is more imaginative"
A01920,S103340,A01920.headed.txt,"En�otikon or A sermon of the vnion of Great Brittannie, in antiquitie of language, name, religion, and kingdome: preached by Iohn Gordoun Deane of Sarum, the 28 day of October 1604, in presence of the the Kings Maiestie at Whitehall.|En�otikon|Sermon of t",SermonUnionOfGreatBritain,"Gordon, John, 1544-1619.",4�,,1604,Londini :,"[Printed by Eliot's Court Press] impensis Georgii Bishop,",prose,IR,INST,Free,
A01971,S103279,A01971.headed.txt,"An exposition of the Song of Solomon: called Canticles. Together with profitable obseruations, collected out of the same. Perused and published by William Gouge, preacher of Gods Word in Black-Friers, London.",ExpositionOfSongOfSolomon,"Finch, Henry, Sir, d. 1625.|Gouge, William, 1578-1653,",4�,,1615,London :,"Printed by Iohn Beale dwelling in Aldersgate streete and are there to be solde,",prose,IR,INST,Free,
A01975,S103286,A01975.headed.txt,"A guide to goe to God: or, An explanation of the perfect patterne of prayer, the Lords prayer. By William Gouge, B. in D. and minister of Gods Word in Black-Friers London.|Guide to goe to God|Explanation of the perfect patterne of prayer, the Lords prayer",ExplanationOfLordsPrayer,"Gouge, William, 1578-1653.",4�,,1626,At London :,"Printed by G. M[iller] and R. B[adger] for Edward Brewster, and are to be sold at his shop neere the great north dore of St. Pauls Church, at the signe of the Bible,",prose,IR,INST,Free,
A01979,S103304,A01979.headed.txt,"The vvhole-armor of God: or A Christians spiritual furniture, to keepe him safe from all the assaults of Satan. First preached, and now the second time published and enlarged for the good of all such as well vse it:whereunto is also added a treatise of th",WholeArmorOfGod,"Gouge, William, 1578-1653.",4�,,1619,At London :,"Printed by Iohn Beale,",prose,IR,INST,Free,
A01988,S105777,A01988.headed.txt,"A godly boke wherein is contayned certayne fruitefull, godlye, and necessarye rules, to bee exercised [et] put in practise by all Christes souldiers lyuynge in the campe of this worlde.|Godly boke wherein is contayned certayne fruitefull, godlye, and nece",GodlyBookForSoldiers,"Erasmus, Desiderius, d. 1536.|Artour, Thomas.|Gough, John, fl. 1561-1570.",8�,,1561,[Imprynted at London :,"By VVyllyam Seres dvvellynge at the vveste ende of Paules Churche, at the sygne of the Hedgehogge],",prose,IR,INST,Free,
A02122,S105817,A02122.headed.txt,"Gvvydonius. The carde of fancie wherein the folly of those carpet knights is decyphered, which guyding their course by the compasse of Cupid, either dash their ship against most daungerous rocks, or els attaine the hauen with paine and perill. Wherein als",GwydoniusCardOfFancy,"Greene, Robert, 1558?-1592.|Lab�, Louise, 1526?-1566.",4�,,1584,At London :,"Imprinted [by T. East] for VVilliam Posonby,",prose,NI,NARR,Free,
A02129,S119748,A02129.headed.txt,"Mamillia. A mirrour or looking-glasse for the ladies of Englande. Wherein is disciphered, howe gentlemen vnder the perfect substaunce of pure loue, are oft inueigled with the shadowe of lewde lust: and their firme faith, brought a sleepe by fading fancie:",MirrorForLadiesOfEngland,"Greene, Robert, 1558?-1592.",4�,,1583,Imprinted at London :,"[By T. Dawson] for Thomas Woodcocke,",prose,NI,NARR,Free,
A02138,S105813,A02138.headed.txt,"The myrrour of modestie wherein appeareth as in a perfect glasse howe the Lorde deliuereth the innocent from all imminent perils, and plagueth the bloudthirstie hypocrites with deserued punishments. Shewing that the graie heades of dooting adulterers shal",MirrorOfModesty,"Greene, Robert, 1558?-1592.",8�,,1584,Imprinted at London :,"By Roger Warde, dwelling at the signe of the Talbot neere vnto Holburne Conduit,",prose,NI,NARR,Free,
A02143,S108586,A02143.headed.txt,"Pandosto the triumph of time. VVherein is discouered by a pleasant historie, that although by the meanes of sinister fortune truth may be concealed, yet by time in spight of fortune it is most manifestlie reuealed. Pleasant for age to auoyde drowsie thoug",PandostoTriumphOfTime,"Greene, Robert, 1558-1592.",4�,,1588,Imprinted at London :,"By Thomas Orwin for Thomas Cadman, dwelling at the signe of the Bible, neere vnto the north doore of Paules,",prose,NI,NARR,Free,
A02148,S100559,A02148.headed.txt,"Meditations and disquisitions upon the first Psalme of Dauid. Blessed is the man. By Sr. Richard Baker, Knight.|Meditations and disquisitions upon the first Psalme of David|Meditations and disquisitions upon the first Psalme of David.",MeditationsOnDavids1stPsalm,"Baker, Richard, Sir, 1568-1645.",4�,,1638,London :,"Printed by Edward Griffin, for Anne Bowler, and are to be sold at the Marigold, in Pauls Church-yard,",prose,IR,INST,Free,
A02167,S105811,A02167.headed.txt,"The Royal Exchange. Contayning sundry aphorismes of phylosophie, and golden principles of morrall and naturall quadruplicities. Vnder pleasant and effectuall sentences, dyscouering such strange definitions, deuisions, and distinctions of vertue and vice,",RoyalExchangeAphorisms,"Rinaldi, Oraziofin id s105920/upd.|Greene, Robert, 1558?-1592,",4�,,1590,At London :,"Printed by I. Charlewood for William VVright,",prose,EX,EX,Free,
A02216,S105874,A02216.headed.txt,"An oration or funerall sermon vttered at Roome, at the buriall of the holy Father Gregorie the 13. who departed in Iesus Christ the 11. of Aprill. 1585. Conteyning his maners, life, deedes, and last wordes at his death concerning the affayres of this pres",FuneralSermonForFatherGregory,"Greene, Robert, 1558?-1592,",8�,,1585,[London] :,"Imprinted [by G. Robinson],",prose,IR,INST,Free,
A02273,S105883,A02273.headed.txt,"The most famous and tragicall historie of Pelops and Hippodamia. Whereunto are adioyned sundrie pleasant deuises, epigrams, songes and sonnettes. Written by Mathewe Groue.|Historie of Pelops and Hippodamia.|Pelops and Hippodamia.",TragicHistoryPelopsHippodamia,"Grove, Mathew.|Smith, Richard, fl. 1587,",8�,,1587,Imprinted at London :,"By Abel Ieffs dwelling in the Forestreete without Creeplegate, neere vnto Grubstreete,",verse,NI,NARR,Free,
A02303,S103483,A02303.headed.txt,The golden boke of Marcus Aurelius Emperour and eloquent oratour.|Libro llamado Relox de principes. English|Relox de principes.|Marcus Aurelius.,GoldenBookOfMarcusAurelius,"Guevara, Antonio de, Bp., d. 1545?|Berners, John Bourchier, 1466 or 7-1533,",4�,,1537,[Londini :,"In aedibus Thomae Bertheleti regii impressoris],",prose,NN,NARR,Free,
