ngram,corpus frequency,document frequency,rank in corpus
strange,4069,602,295
sister,4049,440,296
happy,4048,609,297
forth,4038,622,298
lie,4023,608,299
heard,3994,597,300
wit,3993,544,301
over,3983,637,302
beauty,3973,556,303
thine,3959,576,304
fire,3940,617,305
back,3940,610,305
boy,3918,510,306
brought,3897,626,307
pardon,3887,576,308
joy,3817,602,309
turn,3811,612,310
money,3804,464,311
desire,3787,615,312
wish,3783,596,313
thank,3779,571,314
three,3777,598,315
found,3777,609,315
follow,3771,611,316
ill,3770,598,317
ladies,3765,514,318
sword,3761,545,319
sent,3732,626,320
kind,3687,601,321
pleasure,3685,603,322
free,3682,597,323
high,3668,611,324
fit,3647,593,325
loves,3641,581,326
less,3600,602,327
play,3588,595,328
seen,3583,616,329
arms,3568,574,330
fool,3547,540,331
work,3544,595,332
command,3524,586,333
trust,3479,586,334
marry,3471,478,335
want,3468,589,336
least,3455,608,337
just,3436,593,338
matter,3434,553,339
worthy,3431,583,340
pity,3430,570,341
women,3406,551,342
farewell,3397,552,343
thousand,3369,577,344
fellow,3362,533,345
service,3359,568,346
worth,3355,591,347
each,3349,582,348
duke,3349,244,348
prove,3337,601,349
country,3335,560,350
run,3328,611,351
tongue,3321,577,352
eye,3319,594,353
kings,3303,485,354
tears,3297,551,355
alone,3290,615,356
company,3288,581,357
often,3287,615,358
fathers,3283,541,359
under,3282,619,360
near,3278,591,361
saw,3261,590,362
save,3257,586,363
justice,3252,542,364
soon,3226,598,365
send,3225,601,366
shame,3218,562,367
above,3217,607,368
wise,3206,590,369
talk,3190,557,370
next,3186,601,371
sight,3171,611,372
gold,3166,559,373
hence,3162,571,374
lords,3142,463,375
law,3139,529,376
lives,3123,583,377
devil,3117,524,378
lay,3093,617,379
news,3092,543,380
business,3086,504,381
doubt,3083,592,382
revenge,3083,514,382
answer,3073,562,383
kiss,3072,549,384
brave,3054,521,385
bed,3033,549,386
mad,3019,553,387
breath,3017,562,388
already,3010,537,389
present,3010,588,389
need,3008,610,390
yours,2997,560,391
late,2982,586,392
rich,2965,575,393
grief,2962,519,394
thinks,2961,572,395
fly,2954,573,396
serve,2952,589,397
years,2947,587,398
neither,2945,576,399
hell,2940,541,400
wrong,2934,557,401
days,2928,589,402
together,2928,584,402
gave,2924,601,403
force,2914,560,404
return,2904,584,405
charge,2903,578,406
crown,2888,534,407
whilst,2877,465,408
kill,2864,541,409
favor,2849,572,410
hither,2847,576,411
whole,2846,565,412
age,2840,575,413
youth,2814,533,414
told,2806,549,415
fight,2804,524,416
sleep,2800,562,417
hour,2797,561,418
seek,2795,567,419
given,2783,598,420
past,2775,584,421
half,2774,566,422
sake,2773,572,423
dye,2771,458,424
ready,2760,559,425
hate,2759,539,426
sad,2759,539,426
false,2755,564,427
wonder,2748,570,428
sit,2746,577,429
child,2721,521,430
content,2714,574,431
known,2713,602,432
air,2694,581,433
called,2673,573,434
knows,2672,587,435
cast,2672,586,435
proud,2639,553,436
looks,2639,567,436
base,2638,533,437
land,2628,509,438
fate,2609,479,439
break,2606,604,440
taken,2599,576,441
war,2597,481,442
ask,2593,557,443
swear,2591,543,444
pay,2585,545,445
spirit,2583,521,446
hearts,2581,577,447
prithee,2569,416,448
others,2569,555,448
black,2554,561,449
sin,2550,501,450
says,2550,548,450
mercy,2542,538,451
comfort,2541,543,452
drink,2536,517,453
servant,2535,517,454
read,2526,543,455
hard,2526,586,455
worse,2524,560,456
captain,2491,325,457
selves,2490,562,458
sun,2482,553,459
pass,2476,582,460
times,2470,579,461
open,2467,586,462
confess,2466,544,463
lies,2462,574,464
took,2461,575,465
change,2454,563,466
hopes,2448,502,467
warrant,2446,477,468
act,2442,505,469
heavens,2437,499,470
gentle,2432,541,471
knew,2420,567,472
fame,2417,510,473
behold,2382,515,474
remember,2381,549,475
themselves,2371,560,476
draw,2370,577,477
hang,2364,535,478
yield,2357,539,479
city,2355,489,480
danger,2331,529,481
twas,2321,387,482
either,2303,570,483
loose,2302,525,484
common,2301,575,485
vain,2301,549,485
course,2297,530,486
duty,2297,508,486
cut,2293,566,487
princes,2293,420,487
breast,2262,497,488
become,2260,559,489
seem,2251,562,490
sea,2237,487,491
suffer,2237,544,491
strong,2208,554,492
counsel,2205,531,493
ears,2205,563,493
people,2204,502,494
needs,2200,568,495
wear,2199,550,496
loved,2199,522,496
cold,2186,556,497
fine,2186,489,497
marriage,2184,472,498
scorn,2170,534,499
borne,2170,499,499
fortunes,2169,513,500
conscience,2169,483,500
majesty,2166,375,501
having,2142,558,502
appear,2137,550,503
besides,2126,513,504
man's,2122,537,505
grave,2109,521,506
truly,2107,505,507
glory,2106,503,508
glad,2102,554,509
person,2101,520,510
blessed,2099,539,511
purpose,2086,526,512
bid,2086,545,512
maid,2084,457,513
excellent,2076,477,514
feel,2070,531,515
married,2069,429,516
holy,2066,484,517
ah,2059,323,518
morrow,2058,452,519
walk,2057,525,520
something,2053,449,521
rise,2051,551,522
wealth,2048,496,523
wench,2047,396,524
presently,2046,462,525
bold,2044,550,526
sorrow,2037,506,527
thanks,2026,533,528
greater,2024,533,529
receive,2019,542,530
grow,2017,540,531
royal,2011,396,532
fast,2005,551,533
whether,2002,535,534
got,1992,521,535
merry,1989,463,536
pretty,1966,478,537
promise,1962,531,538
bin,1960,340,539
souls,1958,509,540
close,1952,531,541
foul,1949,514,542
ten,1945,496,543
happiness,1945,452,543
cruel,1944,470,544
small,1944,556,544
cry,1943,519,545
hundred,1942,466,546
ground,1939,556,547
soldiers,1938,380,548
sound,1935,535,549
ought,1930,517,550
begin,1929,571,551
knight,1920,295,552
patience,1910,500,553
pride,1909,508,554
slave,1908,456,555
bound,1907,541,556
music,1904,498,557
mark,1902,494,558
safe,1900,507,559
passion,1892,450,560
try,1890,546,561
side,1890,555,561
villain,1885,412,562
wine,1885,437,562
health,1880,517,563
attend,1876,506,564
further,1875,471,565
town,1873,439,566
amongst,1873,473,566
lose,1865,438,567
certain,1861,518,568
case,1858,494,569
unless,1857,515,570
coming,1857,542,570
strength,1855,532,571
fie,1853,428,572
children,1853,501,572
deed,1850,441,573
nere,1846,402,574
desires,1846,526,574
grant,1846,497,574
pleased,1838,522,575
wait,1836,487,576
forget,1834,519,577
general,1827,432,578
voice,1823,522,579
presence,1819,515,580
private,1815,487,581
lust,1813,410,582
knowledge,1812,475,583
seems,1805,516,584
flesh,1801,492,585
eat,1793,467,586
enjoy,1787,504,587
strike,1776,502,588
rome,1770,226,589
beyond,1768,499,590
water,1767,523,591
morning,1754,493,592
witness,1751,517,593
horse,1748,448,594
lead,1746,552,595
chance,1744,516,596
knave,1742,372,597
straight,1741,478,598
caesar,1741,141,598
although,1737,475,599
affection,1733,464,600
rage,1733,453,600
highness,1730,259,601
delight,1729,517,602
sing,1724,484,603
fault,1723,498,604
judgment,1719,485,605
sense,1719,478,605
perhaps,1710,428,606
stands,1709,513,607
anger,1708,453,608
move,1707,538,609
between,1701,456,610
among,1688,468,611
longer,1683,533,612
carry,1678,487,613
second,1677,509,614
white,1676,497,615
understand,1674,479,616
spirits,1670,459,617
living,1666,509,618
always,1662,464,619
mighty,1659,443,620
wind,1654,515,621
murder,1650,402,622
hark,1647,429,623
turned,1644,525,624
virtues,1639,476,625
fears,1637,437,626
troth,1633,374,627
chamber,1629,437,628
praise,1628,494,629
enemy,1627,441,630
kept,1625,536,631
laugh,1623,474,632
twill,1621,403,633
subject,1617,487,634
soldier,1616,372,635
pain,1616,424,635
weep,1615,468,636
loss,1614,482,637
mr,1611,151,638
foot,1608,494,639
virtuous,1607,469,640
met,1599,515,641
guard,1594,446,642
choice,1592,479,643
short,1590,523,644
clear,1589,520,645
quickly,1588,482,646
birth,1588,479,646
uncle,1574,220,647
beseech,1573,408,648
rare,1573,429,648
sacred,1571,425,649
judge,1568,477,650
secret,1567,477,651
glorious,1566,436,652
fury,1566,470,652
piece,1562,471,653
few,1557,510,654
goodness,1557,396,654
ruin,1556,417,655
ear,1555,510,656
point,1554,497,657
year,1553,466,658
question,1550,485,659
parts,1548,492,660
goes,1547,501,661
soft,1547,490,661
stars,1544,448,662
went,1539,498,663
touch,1538,491,664
weak,1533,488,665
deep,1531,494,666
bright,1530,464,667
fetch,1530,470,667
arm,1528,467,668
almost,1521,502,669
sons,1521,396,669
plain,1512,493,670
choose,1510,494,671
equal,1510,458,671
opinion,1508,440,672
win,1501,461,673
gives,1500,521,674
able,1497,489,675
lets,1495,405,676
worst,1487,502,677
masters,1484,431,678
credit,1483,458,679
vow,1483,457,679
angry,1481,468,680
sudden,1480,476,681
reward,1477,469,682
mouth,1476,488,683
honors,1471,442,684
teach,1470,494,685
bad,1470,493,685
learn,1467,498,686
humor,1465,398,687
expect,1463,412,688
twenty,1462,434,689
joys,1455,444,690
ease,1454,499,691
consent,1453,450,692
laid,1452,499,693
fools,1450,421,694
gracious,1450,394,694
perfect,1450,492,694
behind,1450,525,694
curse,1448,454,695
letter,1448,356,695
bless,1444,451,696
liberty,1444,440,696
deserve,1442,458,697
trouble,1442,472,697
yea,1442,296,697
blind,1442,483,697
due,1442,484,697
door,1440,413,698
misery,1435,425,699
de,1435,242,699
kingdom,1435,371,699
sick,1433,425,700
dance,1429,420,701
deny,1426,506,702
hot,1424,475,703
quite,1423,477,704
discourse,1412,428,705
golden,1410,432,706
bloody,1407,370,707
safety,1405,406,708
four,1404,436,709
valor,1403,381,710
wherein,1402,445,711
worship,1401,335,712
france,1398,216,713
match,1394,433,714
raise,1393,474,715
durst,1390,467,716
princess,1382,221,717
beat,1377,452,718
spoke,1372,471,719
slain,1369,341,720
valiant,1367,397,721
bosom,1363,411,722
brothers,1363,369,722
wives,1360,403,723
wound,1360,430,723
twere,1360,420,723
room,1359,461,724
sport,1358,478,725
fashion,1358,418,725
order,1358,480,725
hours,1357,475,726
wars,1356,363,727
heat,1354,480,728
grown,1354,465,728
tender,1352,470,729
feet,1347,476,730
jove,1346,307,731
entreat,1346,453,731
naught,1346,413,731
woe,1344,363,732
john,1341,207,733
lips,1340,453,734
speed,1340,439,734
excuse,1340,441,734
chaste,1339,422,735
laws,1336,420,736
that's,1333,261,737
gain,1332,458,738
memory,1332,470,738
forgive,1332,426,738
wretched,1330,397,739
toward,1328,428,740
pure,1325,465,741
wherefore,1323,353,742
resolved,1321,436,743
ways,1321,481,743
office,1320,455,744
poison,1320,404,744
embrace,1319,473,745
used,1319,490,745
beg,1318,425,746
endure,1317,469,747
speaks,1316,479,748
meat,1315,387,749
fell,1315,472,749
treason,1313,360,750
field,1312,407,751
labor,1310,496,752
mischief,1307,406,753
abroad,1305,473,754
guilty,1305,396,754
whence,1300,479,755
friendship,1297,366,756
wounds,1296,396,757
suit,1292,395,758
offer,1291,463,759
sometimes,1285,432,760
scarce,1282,456,761
low,1280,478,762
servants,1279,449,763
round,1275,482,764
hurt,1274,455,765
creature,1273,438,766
estate,1272,413,767
assure,1272,420,767
lived,1269,453,768
hair,1268,427,769
perceive,1264,447,770
obey,1261,428,771
madame,1261,183,771
courage,1256,392,772
dream,1256,410,772
actions,1256,396,772
husbands,1255,379,773
language,1251,376,774
stranger,1249,406,775
also,1248,273,776
lordship,1247,246,777
wits,1246,401,778
rule,1245,432,779
haste,1243,385,780
pound,1243,269,780
takes,1242,487,781
five,1240,412,782
prayers,1238,428,783
heavy,1235,451,784
stood,1235,457,784
until,1235,407,784
feed,1233,472,785
envy,1233,428,785
whore,1231,307,786
hem,1230,106,787
signior,1230,137,787
honorable,1224,412,788
lovers,1224,390,788
sex,1223,370,789
pains,1222,454,790
respect,1220,456,791
noise,1219,426,792
powers,1218,381,793
cure,1217,395,794
taste,1217,459,794
divine,1216,420,795
report,1214,456,796
held,1212,456,797
mirth,1209,426,798
greatest,1204,446,799
innocent,1204,391,799
wild,1204,440,799
english,1203,255,800
withal,1199,420,801
spare,1199,465,801
plot,1195,382,802
loving,1194,438,803
enter,1190,455,804
shape,1189,438,805
sooner,1189,484,805
quick,1189,444,805
don,1186,179,806
drawn,1181,480,807
forced,1181,429,807
fresh,1180,473,808
hide,1173,429,809
foolish,1172,431,810
escape,1171,442,811
observe,1170,391,812
heads,1170,447,812
wisdom,1167,413,813
buy,1167,385,813
clothes,1167,366,813
owe,1167,408,813
wrought,1165,440,814
mortal,1164,446,815
its,1160,279,816
write,1159,407,817
men's,1156,442,818
merit,1153,393,819
oath,1152,390,820
shows,1151,465,821
fill,1150,467,822
dares,1149,408,823
ring,1149,374,823
practice,1148,423,824
fail,1147,469,825
precious,1145,434,826
traitor,1145,328,826
spend,1145,443,826
speech,1142,381,827
spring,1142,448,827
somewhat,1140,380,828
cunning,1139,404,829
sacrifice,1138,346,830
visit,1138,401,830
study,1136,391,831
cross,1136,432,831
title,1135,402,832
quiet,1135,439,832
innocence,1134,352,833
action,1133,409,834
dangerous,1133,436,834
undone,1132,407,835
enemies,1128,374,836
england,1128,220,836
drunk,1121,383,837
pleasures,1121,390,837
honored,1120,397,838
flame,1120,368,838
e're,1118,238,839
forward,1117,440,840
heir,1115,392,841
dog,1115,382,841
subjects,1111,362,842
wicked,1111,379,842
large,1106,452,843
reach,1105,443,844
making,1105,450,844
several,1104,404,845
french,1103,265,846
dull,1103,411,846
widow,1100,208,847
brain,1100,391,847
minds,1097,376,848
deeds,1095,392,849
won,1095,426,849
victory,1095,336,849
anon,1093,377,850
blessing,1091,357,851
virgin,1091,362,851
learned,1091,420,851
possible,1091,397,851
bodies,1088,439,852
blush,1088,409,852
freely,1085,423,853
along,1085,403,853
gentlewoman,1085,251,853
heed,1085,412,853
feign,1079,399,854
wanton,1078,423,855
entertain,1078,411,855
book,1078,390,855
venus,1078,321,855
sirrah,1076,249,856
sovereign,1074,346,857
shake,1072,451,858
blow,1066,445,859
forgot,1065,423,860
watch,1065,380,860
lover,1065,307,860
greatness,1065,308,860
story,1065,367,860
hereafter,1062,415,861
army,1059,275,862
doctor,1057,198,863
jest,1056,359,864
received,1055,427,865
lo,1054,265,866
silence,1052,422,867
form,1052,391,867
hanged,1050,380,868
ambition,1049,344,869
ends,1048,425,870
betwixt,1043,360,871
fatal,1042,361,872
alive,1042,403,872
faithful,1040,379,873
spent,1039,440,874
dark,1038,401,875
constant,1034,402,876
letters,1034,368,876
deliver,1032,401,877
woman's,1031,402,878
ass,1030,327,879
blame,1029,423,880
humble,1028,393,881
killed,1027,387,882
charity,1025,335,883
princely,1025,292,883
occasion,1024,405,884
spite,1024,426,884
dwell,1018,420,885
mothers,1017,372,886
melancholy,1015,349,887
triumph,1013,368,888
paid,1013,413,888
calls,1012,450,889
desperate,1010,407,890
lest,1007,352,891
despair,1006,385,892
wrongs,1004,354,893
honesty,1003,351,894
motion,1000,416,895
pox,997,303,896
saint,997,357,896
bears,996,435,897
disgrace,996,377,897
sorry,995,403,898
wishes,993,370,899
consider,992,358,900
vows,991,372,901
feast,990,395,902
silver,987,373,903
yonder,987,368,903
foe,984,307,904
church,984,314,904
easy,982,396,905
preserve,982,404,905
fancy,978,333,906
favors,977,384,907
folly,975,385,908
manner,975,363,908
mary,973,197,909
nose,969,369,910
smile,969,384,910
repent,969,404,910
keeps,969,433,910
fellows,967,400,911
express,966,381,912
prevent,966,403,912
crowns,963,331,913
forsooth,963,286,913
view,962,400,914
rogue,962,262,914
suspect,960,362,915
crave,960,382,915
resolve,959,380,916
going,959,400,916
prisoner,958,332,917
venture,958,387,917
double,958,421,917
troubled,956,426,918
stir,956,418,918
gallant,956,330,918
weary,955,412,919
armed,954,357,920
trick,953,351,921
miserable,952,373,922
fare,951,395,923
mere,951,385,923
london,948,229,924
passions,948,341,924
vengeance,948,346,924
seas,946,308,925
idle,946,422,925
taught,945,419,926
cursed,945,382,926
wretch,944,345,927
example,943,381,928
forbear,943,373,928
daughters,942,333,929
boys,942,324,929
meant,941,394,930
burn,937,418,931
wants,937,404,931
tree,937,352,931
height,936,374,932
skill,934,406,933
defend,931,394,934
note,931,357,934
lend,930,396,935
malice,930,362,935
promised,929,405,936
wings,929,391,936
prison,929,332,936
ho,926,272,937
names,926,406,937
ours,924,382,938
prepare,920,410,939
flames,920,339,939
brings,919,422,940
ones,919,368,940
beast,917,351,941
walls,916,325,942
looked,916,406,942
absence,915,373,943
dearest,911,349,944
chief,911,394,944
six,910,360,945
former,910,393,945
plague,909,331,946
weight,907,391,947
sins,907,320,947
heavenly,906,358,948
offense,904,383,949
throw,903,367,950
wronged,902,351,951
strive,901,385,952
sworn,901,380,952
commend,901,385,952
treasure,899,371,953
count,897,293,954
whither,896,357,955
tear,896,395,955
join,894,398,956
pale,894,388,956
bestow,893,396,957
guide,893,373,957
condition,893,382,957
deal,892,384,958
proper,892,391,958
betray,891,370,959
quarrel,890,355,960
swords,890,315,960
search,889,391,961
freedom,889,339,961
bones,888,354,962
abuse,887,376,963
sort,881,325,964
thence,881,372,964
clouds,880,389,965
damned,875,326,966
march,872,308,967
jealous,870,349,968
punishment,869,332,969
crime,868,262,970
length,867,382,971
guilt,867,318,971
purse,866,314,972
foes,866,276,972
al,864,242,973
kindness,864,290,973
thunder,862,354,974
natural,862,358,974
loath,860,402,975
proceed,860,404,975
sought,859,380,976
object,858,343,977
stop,857,408,978
purchase,857,380,978
christian,856,242,979
thither,855,378,980
emperor,855,168,980
ancient,853,376,981
moon,852,352,982
maintain,852,388,982
beauties,851,330,983
monster,851,329,983
girl,851,300,983
public,850,331,984
pleasant,849,363,985
affections,849,351,985
secure,848,330,986
cost,847,391,987
twixt,847,350,987
bred,846,386,988
issue,845,339,989
cares,845,379,989
green,843,352,990
rude,839,390,991
catch,839,387,991
spoil,839,366,991
prepared,838,389,992
brains,838,355,992
modesty,838,359,992
number,837,400,993
slaves,836,322,994
obedience,836,328,994
teeth,835,364,995
sign,833,392,996
challenge,833,328,996
lovely,832,328,997
shine,832,376,997
fond,832,349,997
seeing,831,333,998
fled,830,353,999
seven,828,351,1000
share,826,381,1001
wrath,823,279,1002
otherwise,822,370,1003
persuade,821,369,1004
works,820,373,1005
add,820,358,1005
broke,817,390,1006
courtesy,816,355,1007
cruelty,815,320,1008
ore,814,302,1009
easily,814,383,1009
beasts,812,351,1010
allow,812,344,1010
bare,811,390,1011
warm,811,390,1011
devils,810,339,1012
neck,810,412,1012
tale,808,334,1013
fallen,808,392,1013
perform,806,364,1014
dry,806,399,1014
aid,804,318,1015
grows,803,376,1016
request,802,360,1017
loud,801,377,1018
cousin,800,113,1019
fearful,800,339,1019
deserved,799,365,1020
bow,798,351,1021
depart,797,367,1022
protest,796,287,1023
dame,795,239,1024
bounty,791,316,1025
cease,789,352,1026
surely,786,314,1027
reverence,785,348,1028
store,785,385,1028
silent,785,355,1028
temple,784,255,1029
habit,784,325,1029
countries,784,328,1029
attempt,783,350,1030
commands,781,351,1031
bride,781,255,1031
roman,780,189,1032
stone,780,358,1032
dispatch,780,341,1032
remedy,779,341,1033
pursue,779,339,1033
sorrows,779,311,1033
grieve,778,361,1034
cheer,778,331,1034
lawful,777,344,1035
natures,777,355,1035
wished,776,372,1036
served,774,366,1037
doors,774,326,1037
steal,774,366,1037
gallants,774,252,1037
wood,773,286,1038
naked,773,375,1038
countenance,773,345,1038
hazard,772,348,1039
song,769,334,1040
forsake,766,367,1041
holds,764,365,1042
legs,764,352,1042
throat,763,365,1043
hearing,762,374,1044
dying,762,344,1044
leaves,761,400,1045
color,760,368,1046
angels,760,318,1046
policy,759,312,1047
meaning,758,344,1048
struck,758,348,1048
red,757,376,1049
graces,755,331,1050
slight,755,341,1050
price,755,344,1050
cupid,754,229,1051
suppose,754,326,1051
lands,754,305,1051
jewel,753,314,1052
returned,753,364,1052
remain,752,314,1053
earnest,751,343,1054
remove,751,339,1054
deceived,751,349,1054
etc,751,199,1054
stomach,750,346,1055
ride,749,328,1056
religion,749,290,1056
coward,748,297,1057
fates,747,292,1058
twice,747,361,1058
accept,747,368,1058
betrayed,746,312,1059
unhappy,746,318,1059
gift,745,357,1060
clean,745,345,1060
evil,745,297,1060
rascal,744,263,1061
proof,744,337,1061
pair,743,339,1062
falls,743,388,1062
effect,743,344,1062
violence,743,330,1062
moved,743,348,1062
jealousy,742,270,1063
eternal,740,329,1064
custom,738,339,1065
mistake,736,320,1066
resolution,736,324,1066
sighs,736,306,1066
discover,736,326,1066
civil,736,311,1066
shadow,734,342,1067
senses,734,312,1067
battle,733,251,1068
broken,731,364,1069
seat,730,334,1070
horror,730,274,1070
knees,730,355,1070
success,729,317,1071
game,728,318,1072
modest,728,321,1072
advise,728,340,1072
error,727,315,1073
suddenly,727,348,1073
willingly,727,355,1073
account,726,358,1074
disease,726,331,1074
presume,726,336,1074
faces,726,356,1074
abused,725,324,1075
zeal,725,316,1075
simple,725,346,1075
ghost,725,297,1075
cheeks,725,337,1075
tongues,724,348,1076
trade,722,307,1077
glass,721,341,1078
conceit,721,283,1078
shortly,720,358,1079
storm,718,339,1080
sentence,717,308,1081
handsome,716,236,1082
dangers,716,286,1082
shore,716,259,1082
amorous,714,274,1083
nephew,712,152,1084
sell,711,314,1085
appears,710,355,1086
third,710,332,1086
jewels,709,296,1087
according,709,336,1087
priest,709,272,1087
intent,708,344,1088
vice,707,304,1089
measure,706,359,1090
refuse,704,356,1091
increase,704,357,1091
impossible,703,305,1092
conquest,703,293,1092
hardly,703,363,1092
maids,701,317,1093
terms,701,339,1093
bind,700,359,1094
trial,699,328,1095
knaves,699,262,1095
pieces,698,329,1096
dinner,696,248,1097
throne,696,265,1097
regard,695,340,1098
passage,694,330,1099
torment,694,326,1099
satisfy,693,336,1100
provide,693,361,1100
single,693,337,1100
sharp,692,344,1101
duchess,691,76,1102
perish,691,317,1102
parents,690,304,1103
begins,690,371,1103
acquainted,690,340,1103
star,689,352,1104
possess,688,343,1105
fixed,687,361,1106
afraid,687,338,1106
winds,687,323,1106
satisfaction,687,289,1106
confident,686,259,1107
knowing,685,356,1108
faults,684,301,1109
acquaintance,683,306,1110
manners,683,311,1110
darkness,682,317,1111
intend,682,329,1111
suite,681,244,1112
reign,681,285,1112
bought,681,345,1112
mock,680,331,1113
sisters,679,302,1114
wont,679,350,1114
ship,678,266,1115
thrust,678,338,1115
minute,677,321,1116
list,677,330,1116
lately,676,349,1117
forbid,676,348,1117
